city,Cloudiness,country,Date,Humidity,lat,lng,Max_Temp,Wind Speed
okhotsk,0.0,ru,2018-05-24 14:07:25,92.0,61.44721347363634,143.45973566230333,-2.94,0.96
tual,92.0,id,2018-05-24 14:07:26,100.0,-5.7960439560825705,133.49296026428863,27.97,6.56
albany,0.0,au,2018-05-24 14:07:28,0.0,-75.78801665649918,111.5513547930027,-57.09,10.16
vaitupu,76.0,wf,2018-05-24 14:07:29,100.0,6.311497124149241,-173.419198852048,28.17,7.36
skagastrond,92.0,is,2018-05-24 14:07:31,100.0,66.43304621369919,-19.96744700605373,4.92,1.16
kazalinsk,0.0,kz,2018-05-24 14:07:33,31.0,46.673629086855186,61.53895908086798,23.52,1.61
hasaki,0.0,jp,2018-05-24 14:07:34,100.0,23.85771711519638,154.24550820474133,27.02,0.26
sao filipe,88.0,cv,2018-05-24 14:07:36,100.0,7.684572943791707,-33.86139952295446,25.82,6.31
shache,8.0,cn,2018-05-24 14:07:37,95.0,37.74723468913132,76.21267989093053,0.72,0.71
praxedis guerrero,1.0,mx,2018-05-24 13:51:00,56.0,31.662557492278737,-105.45580577110329,20.0,4.1
gat,92.0,ly,2018-05-24 14:07:41,12.0,27.246105636458438,7.8610289421544906,40.72,0.86
butaritari,88.0,ki,2018-05-24 14:07:42,100.0,7.890624169495382,175.9573535191593,27.77,6.16
yian,0.0,cn,2018-05-24 14:07:43,67.0,47.98314274785409,125.24110129843314,8.67,3.66
wodonga,0.0,au,2018-05-24 13:35:00,100.0,-36.131267792238276,146.64722401796405,5.0,0.51
jacqueville,56.0,ci,2018-05-24 14:07:46,100.0,0.8700417166270569,-4.050587386283894,27.07,6.71
kapaa,92.0,us,2018-05-24 14:07:47,100.0,14.422323439982193,-169.7853347503725,26.92,8.76
komsomolskiy,12.0,ru,2018-05-24 14:07:49,80.0,79.84566339549971,174.44729277051067,-10.69,0.16
aklavik,68.0,ca,2018-05-24 14:07:50,100.0,71.92190816658987,-139.33112066205462,-4.89,8.31
goderich,76.0,sl,2018-05-24 14:07:52,100.0,2.1877449673777107,-22.598661668312076,25.97,2.51
qaanaaq,80.0,gl,2018-05-24 14:07:53,100.0,88.6743040177515,-86.22690762209282,-2.69,3.86
garbolovo,0.0,ru,2018-05-24 14:07:55,64.0,60.83257302726139,30.82820969711875,12.72,2.01
puerto escondido,88.0,mx,2018-05-24 14:07:56,100.0,4.98563900388551,-102.2057142420285,25.67,3.56
oistins,44.0,bb,2018-05-24 14:07:58,100.0,12.473277746684829,-58.79012129265297,26.42,7.06
khatanga,92.0,ru,2018-05-24 14:07:59,99.0,81.16115045346382,99.5826923645132,0.02,6.06
tsihombe,64.0,mg,2018-05-24 14:08:01,100.0,-57.83962626768945,50.541600797795894,0.72,9.21
poum,92.0,nc,2018-05-24 14:08:02,100.0,-20.74986340378163,158.04535099377136,23.67,7.41
ribeira grande,0.0,pt,2018-05-24 14:08:03,100.0,38.48358545741314,-34.61454524423087,18.52,3.76
moose factory,0.0,ca,2018-05-24 14:08:05,59.0,50.46236378929163,-79.58018835701263,20.06,6.91
yulara,0.0,au,2018-05-24 14:08:06,58.0,-24.511422545020338,131.3063051013528,8.56,3.31
vuktyl,0.0,ru,2018-05-24 14:08:08,54.0,63.490008802950285,59.84764770853863,4.72,4.71
attawapiskat,90.0,ca,2018-05-24 13:44:00,92.0,58.21725017852131,-77.04475708938357,-5.0,8.7
provideniya,88.0,ru,2018-05-24 14:08:11,100.0,45.69201132486657,-179.7270347297115,5.61,7.51
isangel,76.0,vu,2018-05-24 14:08:12,100.0,-24.201879882837005,178.5126977052014,22.57,2.86
talnakh,80.0,ru,2018-05-24 14:08:14,92.0,80.16925668539201,92.76961874249531,-3.09,2.06
riyadh,0.0,sa,2018-05-24 14:08:15,10.0,23.511028030559018,45.025480239313794,36.77,3.66
kununurra,0.0,au,2018-05-24 14:08:16,36.0,-20.344168990797286,129.9308247248029,13.17,2.56
hiroshima,75.0,jp,2018-05-24 13:55:00,82.0,34.50249885419598,132.71711063430035,19.0,1.5
cururupu,68.0,br,2018-05-24 14:08:19,99.0,7.66664466361037,-40.432876746226356,26.61,7.61
barentsburg,32.0,sj,2018-05-24 14:08:21,100.0,81.13285910812834,8.916349418786893,-1.49,4.81
bengkulu,56.0,id,2018-05-24 14:08:22,100.0,-6.222163922295707,100.46916835488406,28.57,4.76
aksarka,0.0,ru,2018-05-24 14:08:24,64.0,64.37680388512103,68.25354329907915,3.47,6.81
luderitz,80.0,na,2018-05-24 14:08:25,100.0,-32.55245353680849,1.6763143983976647,18.56,4.06
port lincoln,56.0,au,2018-05-24 14:08:26,95.0,-41.40233716624687,130.5055204761661,13.42,10.21
mwinilunga,0.0,zm,2018-05-24 14:08:28,41.0,-11.725198100825253,24.085929309438484,24.72,1.11
doha,12.0,kw,2018-05-24 14:08:29,14.0,29.200238319774826,46.629962604505465,38.72,3.61
chuy,80.0,uy,2018-05-24 14:08:31,100.0,-61.93665538802703,-23.76459750339012,-2.69,11.26
the valley,76.0,ai,2018-05-24 14:08:32,97.0,20.951151464970494,-63.184859530348916,25.82,5.56
karla,0.0,ee,2018-05-24 12:50:00,55.0,58.91470840731225,22.100413377784747,17.0,3.6
hofn,8.0,is,2018-05-24 14:08:35,100.0,62.08213983976066,-13.88362146856636,8.27,13.71
kruisfontein,92.0,za,2018-05-24 14:08:37,100.0,-42.23261549830098,25.565368781558703,11.36,6.56
husavik,76.0,is,2018-05-24 14:08:38,92.0,71.03422585415444,-13.57198004211611,2.77,4.66
constitucion,44.0,mx,2018-05-24 14:08:39,100.0,23.044466452018554,-112.9617707097986,20.22,7.36
sabha,92.0,ly,2018-05-24 14:08:41,19.0,28.971480367788857,13.237702390529961,34.47,7.16
walvis bay,0.0,na,2018-05-24 14:08:42,100.0,-24.049274229610077,9.545233809397615,20.27,9.16
hobart,80.0,au,2018-05-24 14:08:44,95.0,-63.505113307379446,149.8452286302799,-2.19,12.21
tuatapere,80.0,nz,2018-05-24 14:08:45,100.0,-47.71736821033837,163.66900164276302,9.06,6.51
lebu,48.0,cl,2018-05-24 14:08:47,100.0,-30.784570750365944,-99.74650251962353,19.56,11.26
marienburg,92.0,sr,2018-05-24 14:08:48,100.0,10.436399583787647,-54.73300748887537,26.57,7.06
codrington,44.0,ag,2018-05-24 14:08:50,100.0,26.176046451960886,-49.79418565941768,23.07,4.01
nchelenge,0.0,zm,2018-05-24 14:08:51,36.0,-9.181070404475491,28.414697907874938,26.32,1.61
nuuk,88.0,gl,2018-05-24 14:08:52,100.0,60.32375642980216,-55.48159977716105,0.31,5.16
asau,68.0,tv,2018-05-24 14:08:54,100.0,-9.434433680658543,179.3701744470144,28.07,4.81
burica,24.0,pa,2018-05-24 14:08:55,100.0,4.148894797717503,-83.76752816381153,26.47,3.16
dingle,32.0,ie,2018-05-24 14:08:57,100.0,49.95644370394376,-16.291246805388027,12.11,10.66
warqla,0.0,dz,2018-05-24 14:08:58,22.0,31.526132958295676,2.9026760203474,34.72,3.76
tabou,0.0,ci,2018-05-24 14:09:00,100.0,-4.495029390527364,-5.584578625780864,26.72,6.76
saskylakh,8.0,ru,2018-05-24 14:09:01,71.0,70.4736025174629,118.5101612514847,9.52,2.76
tasiilaq,12.0,gl,2018-05-24 14:09:02,95.0,66.65197900229083,-31.26029186385091,2.06,2.21
